code;text_long;text;version;year
151;Excision of lesion or tissue of cerebral meninges;Ex cereb meningeal les;32;2015
152;Hemispherectomy;Hemispherectomy;32;2015
153;Lobectomy of brain;Brain lobectomy;32;2015
159;Other excision or destruction of lesion or tissue of brain;Other brain excision;32;2015
16;Excision of lesion of skull;Excise skull lesion;32;2015
201;Opening of cranial suture;Linear craniectomy;32;2015
202;Elevation of skull fracture fragments;Elevate skull fx fragmnt;32;2015
203;Formation of cranial bone flap;Skull flap formation;32;2015
204;Bone graft to skull;Bone graft to skull;32;2015
205;Insertion of skull plate;Skull plate insertion;32;2015
206;Other cranial osteoplasty;Cranial osteoplasty NEC;32;2015
207;Removal of skull plate;Skull plate removal;32;2015
211;Simple suture of dura mater of brain;Simple suture of dura;32;2015
212;Other repair of cerebral meninges;Brain meninge repair NEC;32;2015
213;Ligation of meningeal vessel;Meninge vessel ligation;32;2015
214;Choroid plexectomy;Choroid plexectomy;32;2015
221;Insertion or replacement of external ventricular drain [EVD];Insert/replace EVD;32;2015
222;Intracranial ventricular shunt or anastomosis;Intrcran vent shunt/anas;32;2015
231;Ventricular shunt to structure in head and neck;Ventricl shunt-head/neck;32;2015
232;Ventricular shunt to circulatory system;Ventri shunt-circula sys;32;2015
233;Ventricular shunt to thoracic cavity;Ventricl shunt-thorax;32;2015
234;Ventricular shunt to abdominal cavity and organs;Ventricl shunt-abdomen;32;2015
235;Ventricular shunt to urinary system;Ventri shunt-uninary sys;32;2015
239;Ventricular shunt to extracranial site NEC;Vent shunt extracran NEC;32;2015
241;Irrigation and exploration of ventricular shunt;Irrigate/expl vent shunt;32;2015
242;Replacement of ventricular shunt;Replace ventricle shunt;32;2015
243;Removal of ventricular shunt;Remove ventricle shunt;32;2015
291;Lysis of cortical adhesions;Lysis cortical adhesion;32;2015
292;Repair of brain;Brain repair;32;2015
293;Implantation or replacement of intracranial neurostimulator lead(s);Imp/repl brain stim lead;32;2015
294;Insertion or replacement of skull tongs or halo traction device;Insert/replac skull tong;32;2015
295;Removal of skull tongs or halo traction device;Remove skull tongs;32;2015
296;Insertion of sphenoidal electrodes;Insert sphenoid electrod;32;2015
299;Other operations on skull, brain, and cerebral meninges;Skull & brain op NEC;32;2015
301;Removal of foreign body from spinal canal;Removal FB spinal canal;32;2015
302;Reopening of laminectomy site;Reopen laminectomy site;32;2015
309;Other exploration and decompression of spinal canal;Spinal canal explor NEC;32;2015
31;Division of intraspinal nerve root;Intraspin nerve root div;32;2015
321;Percutaneous chordotomy;Percutaneous chordotomy;32;2015
329;Other chordotomy;Other chordotomy;32;2015
331;Spinal tap;Spinal tap;32;2015
332;Biopsy of spinal cord or spinal meninges;Spinal cord/meninges bx;32;2015
339;Other diagnostic procedures on spinal cord and spinal canal structures;Other spinal dx proc;32;2015
34;Excision or destruction of lesion of spinal cord or spinal meninges;Excis spinal cord lesion;32;2015
351;Repair of spinal meningocele;Spine meningocele repair;32;2015
352;Repair of spinal myelomeningocele;Myelomeningocel repair;32;2015
353;Repair of vertebral fracture;Vertebral fx repair;32;2015
359;Other repair and plastic operations on spinal cord structures;Spinal struct repair NEC;32;2015
36;Lysis of adhesions of spinal cord and nerve roots;Spinal cord adhesiolysis;32;2015
371;Spinal subarachnoid-peritoneal shunt;Subarach-periton shunt;32;2015
372;Spinal subarachnoid-ureteral shunt;Subarach-ureteral shunt;32;2015
379;Other shunt of spinal theca;Oth spinal thecal shunt;32;2015
38;Injection of destructive agent into spinal canal;Destr inject-spine canal;32;2015
390;Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances;Insert spinal canal cath;32;2015
391;Injection of anesthetic into spinal canal for analgesia;Anesth inject-spin canal;32;2015
392;Injection of other agent into spinal canal;Spinal canal inject NEC;32;2015
393;Implantation or replacement of spinal neurostimulator lead(s);Imp/repl spine stim lead;32;2015
394;Removal of spinal neurostimulator lead(s);Removal spine stim lead;32;2015
395;Spinal blood patch;Spinal patch;32;2015
396;Percutaneous denervation of facet;Percutan facet denervat;32;2015
397;Revision of spinal thecal shunt;Revise spine theca shunt;32;2015
398;Removal of spinal thecal shunt;Remove spine theca shunt;32;2015
399;Other operations on spinal cord and spinal canal structures;Spine canal struc op NEC;32;2015
401;Excision of acoustic neuroma;Excision acoustc neuroma;32;2015
402;Division of trigeminal nerve;Trigeminal nerv division;32;2015
403;Division or crushing of other cranial and peripheral nerves;Periph nerve div NEC;32;2015
404;Other incision of cranial and peripheral nerves;Periph nerve incis NEC;32;2015
405;Gasserian ganglionectomy;Gasserian ganglionectomy;32;2015
406;Other cranial or peripheral ganglionectomy;Periph ganglionect NEC;32;2015
407;Other excision or avulsion of cranial and peripheral nerves;Periph nerv excision NEC;32;2015
411;Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion;Clos periph nerve biopsy;32;2015
412;Open biopsy of cranial or peripheral nerve or ganglion;Open periph nerve biopsy;32;2015
419;Other diagnostic procedures on cranial and peripheral nerves and ganglia;Periph nerve dx proc NEC;32;2015
42;Destruction of cranial and peripheral nerves;Periph nerve destruction;32;2015
43;Suture of cranial and peripheral nerves;Peripheral nerve suture;32;2015
441;Decompression of trigeminal nerve root;Decompress trigem root;32;2015
442;Other cranial nerve decompression;Cran nerv root decom NEC;32;2015
443;Release of carpal tunnel;Carpal tunnel release;32;2015
444;Release of tarsal tunnel;Tarsal tunnel release;32;2015
449;Other peripheral nerve or ganglion decompression or lysis of adhesions;Per nerve adhesiolys NEC;32;2015
45;Cranial or peripheral nerve graft;Peripheral nerve graft;32;2015
46;Transposition of cranial and peripheral nerves;Periph nerve transposit;32;2015
471;Hypoglossal-facial anastomosis;Hypogloss-facial anastom;32;2015
472;Accessory-facial anastomosis;Accessory-facial anastom;32;2015
473;Accessory-hypoglossal anastomosis;Access-hypogloss anastom;32;2015
474;Other anastomosis of cranial or peripheral nerve;Periph nerv anastom NEC;32;2015
475;Revision of previous repair of cranial and peripheral nerves;Postop revis per nerv op;32;2015
476;Repair of old traumatic injury of cranial and peripheral nerves;Late repair per nerv inj;32;2015
479;Other neuroplasty;Other neuroplasty;32;2015
480;Peripheral nerve injection, not otherwise specified;Periph nerve inject NOS;32;2015
481;Injection of anesthetic into peripheral nerve for analgesia;Anesth injec periph nerv;32;2015
489;Injection of other agent, except neurolytic;Periph nerve inject NEC;32;2015
491;Neurectasis;Neurectasis;32;2015
492;Implantation or replacement of peripheral neurostimulator lead(s);Imp/repl peri stim lead;32;2015
493;Removal of peripheral neurostimulator lead(s);Removal peri stim lead;32;2015
499;Other operations on cranial and peripheral nerves;Peripheral nerve ops NEC;32;2015
50;Division of sympathetic nerve or ganglion;Sympath nerve division;32;2015
511;Biopsy of sympathetic nerve or ganglion;Sympathetic nerve biopsy;32;2015
519;Other diagnostic procedures on sympathetic nerves or ganglia;Sympath nrv dx proc NEC;32;2015
521;Sphenopalatine ganglionectomy;Sphenopalatin ganglionec;32;2015
522;Cervical sympathectomy;Cervical sympathectomy;32;2015
523;Lumbar sympathectomy;Lumbar sympathectomy;32;2015
524;Presacral sympathectomy;Presacral sympathectomy;32;2015
525;Periarterial sympathectomy;Periart sympathectomy;32;2015
529;Other sympathectomy and ganglionectomy;Other sympathectomy;32;2015
531;Injection of anesthetic into sympathetic nerve for analgesia;Anesth inject symp nerve;32;2015
532;Injection of neurolytic agent into sympathetic nerve;Neurolyt injec-symp nrv;32;2015
539;Other injection into sympathetic nerve or ganglion;Sympath nerve inject NEC;32;2015
581;Repair of sympathetic nerve or ganglion;Sympathetic nerve repair;32;2015
589;Other operations on sympathetic nerves or ganglia;Sympathetic nerve op NEC;32;2015
59;Other operations on nervous system;Other nervous system ops;32;2015
601;Aspiration of thyroid field;Thyroid field aspiration;32;2015
602;Reopening of wound of thyroid field;Reopen thyroid field wnd;32;2015
609;Other incision of thyroid field;Incis thyroid field NEC;32;2015
611;Closed [percutaneous] [needle] biopsy of thyroid gland;Closed thyroid gland bx;32;2015
612;Open biopsy of thyroid gland;Open thyroid gland bx;32;2015
613;Biopsy of parathyroid gland;Parathyroid biopsy;32;2015
619;Other diagnostic procedures on thyroid and parathyroid glands;Thyr/parathy dx proc NEC;32;2015
62;Unilateral thyroid lobectomy;Unilat thyroid lobectomy;32;2015
631;Excision of lesion of thyroid;Excision thyroid lesion;32;2015
639;Other partial thyroidectomy;Part thyroidectomy NEC;32;2015
64;Complete thyroidectomy;Complete thyroidectomy;32;2015
650;Substernal thyroidectomy, not otherwise specified;Substern thyroidect NOS;32;2015
651;Partial substernal thyroidectomy;Part substern thyroidect;32;2015
652;Complete substernal thyroidectomy;Tot substern thyroidect;32;2015
66;Excision of lingual thyroid;Lingual thyroid excision;32;2015
67;Excision of thyroglossal duct or tract;Thyrogloss duct excision;32;2015
681;Complete parathyroidectomy;Total parathyroidectomy;32;2015
689;Other parathyroidectomy;Other parathyroidectomy;32;2015
691;Division of thyroid isthmus;Thyroid isthmus division;32;2015
692;Ligation of thyroid vessels;Thyroid vessel ligation;32;2015
693;Suture of thyroid gland;Thyroid suture;32;2015
694;Thyroid tissue reimplantation;Thyroid reimplantation;32;2015
695;Parathyroid tissue reimplantation;Parathyroid reimplant;32;2015
698;Other operations on thyroid glands;Other thyroid operations;32;2015
699;Other operations on parathyroid glands;Other parathyroid ops;32;2015
700;Exploration of adrenal field, not otherwise specified;Adrenal exploration NOS;32;2015
701;Unilateral exploration of adrenal field;Unilat adrenal explorat;32;2015
702;Bilateral exploration of adrenal field;Bilat adrenal explorat;32;2015
711;Closed [percutaneous] [needle] biopsy of adrenal gland;Closed adrenal gland bx;32;2015
712;Open biopsy of adrenal gland;Open adrenal gland bx;32;2015
713;Biopsy of pituitary gland, transfrontal approach;Transfront pituitary bx;32;2015
714;Biopsy of pituitary gland, transsphenoidal approach;Transphen pituitary bx;32;2015
715;Biopsy of pituitary gland, unspecified approach;Pituitary biopsy NOS;32;2015
716;Biopsy of thymus;Thymus biopsy;32;2015
717;Biopsy of pineal gland;Pineal biopsy;32;2015
719;Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus;Endocrine dx proc NEC;32;2015
721;Excision of lesion of adrenal gland;Adrenal lesion excision;32;2015
722;Unilateral adrenalectomy;Unilateral adrenalectomy;32;2015
729;Other partial adrenalectomy;Part adrenalectomy NEC;32;2015
73;Bilateral adrenalectomy;Bilateral adrenalectomy;32;2015
741;Incision of adrenal gland;Adrenal incision;32;2015
742;Division of nerves to adrenal glands;Adrenal nerve division;32;2015
743;Ligation of adrenal vessels;Adrenal vessel ligation;32;2015
744;Repair of adrenal gland;Adrenal repair;32;2015
745;Reimplantation of adrenal tissue;Adrenal reimplantation;32;2015
749;Other operations on adrenal glands, nerves, and vessels;Adrenal operation NEC;32;2015
751;Exploration of pineal field;Pineal field exploration;32;2015
752;Incision of pineal gland;Pineal gland incision;32;2015
753;Partial excision of pineal gland;Partial pinealectomy;32;2015
754;Total excision of pineal gland;Total pinealectomy;32;2015
759;Other operations on pineal gland;Pineal operation NEC;32;2015
761;Partial excision of pituitary gland, transfrontal approach;Exc pituit les-transfron;32;2015
762;Partial excision of pituitary gland, transsphenoidal approach;Exc pituit les-transphen;32;2015
763;Partial excision of pituitary gland, unspecified approach;Part excis pituitary NOS;32;2015
764;Total excision of pituitary gland, transfrontal approach;Tot exc pituit-transfron;32;2015
765;Total excision of pituitary gland, transsphenoidal approach;Tot exc pituit-transphen;32;2015
768;Total excision of pituitary gland, other specified approach;Total exc pituitary NEC;32;2015
769;Total excision of pituitary gland, unspecified approach;Total exc pituitary NOS;32;2015
771;Exploration of pituitary fossa;Pituitary fossa explorat;32;2015
772;Incision of pituitary gland;Pituitary gland incision;32;2015
779;Other operations on hypophysis;Pituitary operation NEC;32;2015
780;Thymectomy, not otherwise specified;Thymectomy NOS;32;2015
781;Other partial excision of thymus;Oth part excision thymus;32;2015
782;Other total excision of thymus;Oth totl excision thymus;32;2015
783;Thoracoscopic partial excision of thymus;Thorac part exisn thymus;32;2015
784;Thoracoscopic total excision of thymus;Thorac total exc thymus;32;2015
791;Exploration of thymus field;Thymus field exploration;32;2015
792;Other incision of thymus;Other incision of thymus;32;2015
793;Repair of thymus;Repair of thymus;32;2015
794;Transplantation of thymus;Thymus transplantation;32;2015
795;Thoracoscopic incision of thymus;Thorac incision thymus;32;2015
798;Other and unspecified thoracoscopic operations on thymus;Oth thorac op thymus NOS;32;2015
799;Other and unspecified operations on thymus;Other thymus ops NOS;32;2015
801;Incision of lid margin;Incision of lid margin;32;2015
802;Severing of blepharorrhaphy;Blepharorrhaphy severing;32;2015
809;Other incision of eyelid;Other eyelid incision;32;2015
811;Biopsy of eyelid;Eyelid biopsy;32;2015
819;Other diagnostic procedures on eyelid;Eyelid dx procedure NEC;32;2015
820;Removal of lesion of eyelid, not otherwise specified;Remove eyelid lesion NOS;32;2015
821;Excision of chalazion;Chalazion excision;32;2015
822;Excision of other minor lesion of eyelid;Excise minor les lid NEC;32;2015
823;Excision of major lesion of eyelid, partial-thickness;Exc maj les lid prt-thic;32;2015
824;Excision of major lesion of eyelid, full-thickness;Exc maj les lid ful-thic;32;2015
825;Destruction of lesion of eyelid;Destruction lid lesion;32;2015
831;Repair of blepharoptosis by frontalis muscle technique with suture;Ptosis rep-front mus sut;32;2015
832;Repair of blepharoptosis by frontalis muscle technique with fascial sling;Ptosis rep-fron mus slng;32;2015
833;Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis;Ptosis rep-levat mus adv;32;2015
834;Repair of blepharoptosis by other levator muscle techniques;Ptosis rep-levat mus NEC;32;2015
835;Repair of blepharoptosis by tarsal technique;Ptos rep-tarsal techniq;32;2015
836;Repair of blepharoptosis by other techniques;Blepharoptos repair NEC;32;2015
837;Reduction of overcorrection of ptosis;Reduc overcorrect ptosis;32;2015
838;Correction of lid retraction;Correct lid retraction;32;2015
841;Repair of entropion or ectropion by thermocauterization;Thermocaut/entropion rep;32;2015
842;Repair of entropion or ectropion by suture technique;Suture entropion repair;32;2015
843;Repair of entropion or ectropion with wedge resection;Wedg resec entropion rep;32;2015
844;Repair of entropion or ectropion with lid reconstruction;Lid recons entropion rep;32;2015
849;Other repair of entropion or ectropion;Entropion/ectrop rep NEC;32;2015
851;Canthotomy;Canthotomy;32;2015
852;Blepharorrhaphy;Blepharorrhaphy;32;2015
859;Other adjustment of lid position;Adjust lid position NEC;32;2015
861;Reconstruction of eyelid with skin flap or graft;Lid reconst w skin graft;32;2015
862;Reconstruction of eyelid with mucous membrane flap or graft;Lid reconst w muc graft;32;2015
863;Reconstruction of eyelid with hair follicle graft;Lid reconst w hair graft;32;2015
864;Reconstruction of eyelid with tarsoconjunctival flap;Lid recon-tarsoconj flap;32;2015
869;Other reconstruction of eyelid with flaps or grafts;Lid reconstr w graft NEC;32;2015
870;Reconstruction of eyelid, not otherwise specified;Lid reconstruction NOS;32;2015
871;Reconstruction of eyelid involving lid margin, partial-thickness;Lid marg recon-part thic;32;2015
872;Other reconstruction of eyelid, partial-thickness;Lid recons-part thic NEC;32;2015
873;Reconstruction of eyelid involving lid margin, full-thickness;Lid marg recons ful thic;32;2015
874;Other reconstruction of eyelid, full-thickness;Lid reconst-ful thic NEC;32;2015
881;Linear repair of laceration of eyelid or eyebrow;Linear rep lid lacer;32;2015
882;Repair of laceration involving lid margin, partial-thickness;Lid marg lac rx-part th;32;2015
883;Other repair of laceration of eyelid, partial-thickness;Lid lacer rx-prt th NEC;32;2015
884;Repair of laceration involving lid margin, full-thickness;Lid marg lac rx-ful thic;32;2015
885;Other repair of laceration of eyelid, full-thickness;Lid lac rx-ful thic NEC;32;2015
886;Lower eyelid rhytidectomy;Lower lid rhytidectomy;32;2015
887;Upper eyelid rhytidectomy;Upper lid rhytidectomy;32;2015
889;Other eyelid repair;Eyelid repair NEC;32;2015
891;Electrosurgical epilation of eyelid;Electrosurg lid epilat;32;2015
892;Cryosurgical epilation of eyelid;Cryosurg lid epilation;32;2015
893;Other epilation of eyelid;Eyelid epilation NEC;32;2015
899;Other operations on eyelids;Eyelid operation NEC;32;2015
90;Incision of lacrimal gland;Lacrimal gland incision;32;2015
911;Biopsy of lacrimal gland;Lacrimal gland biopsy;32;2015
912;Biopsy of lacrimal sac;Lacrimal sac biopsy;32;2015
919;Other diagnostic procedures on lacrimal system;Lacrimal sys dx proc NEC;32;2015
920;Excision of lacrimal gland, not otherwise specified;Exc lacrimal gland NOS;32;2015
921;Excision of lesion of lacrimal gland;Excis les lacrimal gland;32;2015
922;Other partial dacryoadenectomy;Part dacryoadenect NEC;32;2015
923;Total dacryoadenectomy;Total dacryoadenectomy;32;2015
93;Other operations on lacrimal gland;Other lacrimal gland ops;32;2015
941;Probing of lacrimal punctum;Lacrimal punctum probe;32;2015
942;Probing of lacrimal canaliculi;Lac canaliculi probe;32;2015
943;Probing of nasolacrimal duct;Nasolacrimal duct probe;32;2015
944;Intubation of nasolacrimal duct;Nasolac duct intubat;32;2015
949;Other manipulation of lacrimal passage;Lac passage manip NEC;32;2015
951;Incision of lacrimal punctum;Lac punctum incision;32;2015
952;Incision of lacrimal canaliculi;Lac canaliculi incision;32;2015
953;Incision of lacrimal sac;Lacrimal sac incision;32;2015
959;Other incision of lacrimal passages;Lacrim passage incis NEC;32;2015
96;Excision of lacrimal sac and passage;Lacrim sac/passage excis;32;2015
971;Correction of everted punctum;Correct everted punctum;32;2015
972;Other repair of punctum;Punctum repair NEC;32;2015
973;Repair of canaliculus;Canaliculus repair;32;2015
981;Dacryocystorhinostomy [DCR];Dacryocystorhinostomy;32;2015
982;Conjunctivocystorhinostomy;Conjunctivocystorhinost;32;2015
983;Conjunctivorhinostomy with insertion of tube or stent;Conjunctivorhinos w tube;32;2015
991;Obliteration of lacrimal punctum;Lac punctum obliteration;32;2015
999;Other operations on lacrimal system;Lacrimal system op NEC;32;2015
100;Removal of embedded foreign body from conjunctiva by incision;Incise/remov conjunct FB;32;2015
101;Other incision of conjunctiva;Conjunctiva incision NEC;32;2015
1021;Biopsy of conjunctiva;Conjunctival biopsy;32;2015
1029;Other diagnostic procedures on conjunctiva;Conjunctiva dx proc NEC;32;2015
1031;Excision of lesion or tissue of conjunctiva;Excise conjunctiv lesion;32;2015
1032;Destruction of lesion of conjunctiva;Destruct conjunc les NEC;32;2015
1033;Other destructive procedures on conjunctiva;Oth conjunc destruc proc;32;2015
1041;Repair of symblepharon with free graft;Symbleph rep w free grft;32;2015
1042;Reconstruction of conjunctival cul-de-sac with free graft;Graft conjunc cul-de-sac;32;2015
1043;Other reconstruction of conjunctival cul-de-sac;Conjun cul-de-sac rx NEC;32;2015
1044;Other free graft to conjunctiva;Conjunc free graft NEC;32;2015
1049;Other conjunctivoplasty;Conjunctivoplasty NEC;32;2015
105;Lysis of adhesions of conjunctiva and eyelid;Conjunc/lid adhesiolysis;32;2015
106;Repair of laceration of conjunctiva;Repair conjunct lacerat;32;2015
1091;Subconjunctival injection;Subconjunctival inject;32;2015
1099;Other operations on conjunctiva;Conjunctival op NEC;32;2015
110;Magnetic removal of embedded foreign body from cornea;Magnet removal cornea FB;32;2015
111;Incision of cornea;Corneal incision;32;2015
1121;Scraping of cornea for smear or culture;Corneal scrape for smear;32;2015
1122;Biopsy of cornea;Corneal biopsy;32;2015
1129;Other diagnostic procedures on cornea;Corneal dx proc NEC;32;2015
1131;Transposition of pterygium;Pterygium transposition;32;2015
1132;Excision of pterygium with corneal graft;Pteryg exc w cornea grft;32;2015
1139;Other excision of pterygium;Pterygium excision NEC;32;2015
1141;Mechanical removal of corneal epithelium;Mech remov cornea epith;32;2015
1142;Thermocauterization of corneal lesion;Thermocaut cornea lesion;32;2015
1143;Cryotherapy of corneal lesion;Cryotherap cornea lesion;32;2015
1149;Other removal or destruction of corneal lesion;Destruct cornea les NEC;32;2015
1151;Suture of corneal laceration;Suture cornea laceration;32;2015
