"revpanstr","revpan","medspecstr","medspec","prodcode","devname","devclassstr","devclass","unclass","gmpexempt","thirdpartystr","thirdparty","revcode3str","revcode3","regnum","typeid","def","physstate","techmeth","targetarea","implant","lifesust"
"AN",6578,"AN",6578,"BXO","Transducer, Gas Pressure","1",1,,"N","N",78,,,868.289978027344,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXP","Transducer, Gas Flow","1",1,,"N","N",78,,,868.288513183594,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXQ","Rhinoanemometer (Measurement Of Nasal Decongestion)","2",2,,"N","P",80,,,868.179992675781,1,,,,,"N","N"
"AN",6578,"AN",6578,"BXR","Meter, Airway Pressure (Inspiratory Force)","2",2,,"N","P",80,,,868.177978515625,1,,,,,"N","N"
"AN",6578,"AN",6578,"BXW","Calibrator, Volume, Gas","1",1,,"N","N",78,,,868.18701171875,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXX","Calibrator, Pressure, Gas","1",1,,"N","N",78,,,868.262023925781,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXY","Flowmeter, Calibration, Gas","1",1,,"N","N",78,,,868.234985351562,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYD","Condenser, Heat And Moisture (Artificial Nose)","1",1,,"N","N",78,,,868.537475585938,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYE","Attachment, Breathing, Positive End Expiratory Pressure","2",2,,"N","P",80,,,868.596496582031,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BYF","Mask, Oxygen, Low Concentration, Venturi","1",1,,"N","N",78,,,868.559997558594,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYG","Mask, Oxygen","1",1,,"N","N",78,,,868.557983398438,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYH","Drain, Tee (Water Trap)","1",1,,"N","N",78,,,868.599487304688,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYI","Percussor, Powered-Electric","2",2,,"N","P",80,,,868.566528320312,1,,,,,"N","N"
"AN",6578,"AN",6578,"BYJ","Unit, Liquid-Oxygen, Portable","2",2,,"N","P",80,,,868.565490722656,1,,,,,"N","N"
"AN",6578,"AN",6578,"BYK","Tent, Oxygen, Electrically Powered","2",2,,"N","P",80,,,868.570983886719,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BYL","Tent, Oxygen","1",1,,"N","N",78,,,868.570007324219,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYM","Tube, Thorpe, Uncompensated","1",1,,"N","N",78,,,868.231994628906,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYN","Chair, Posture, For Cardiac And Pulmonary Treatment","1",1,,"N","N",78,,,868.536499023438,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYO","Bottle, Blow","1",1,,"Y","N",78,,,868.52197265625,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYP","Mouthpiece, Breathing","1",1,,"N","N",78,,,868.56201171875,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYR","Transducer, Gas Pressure, Differential","1",1,,"N","N",78,,,868.287475585938,4,,,,,"N","N"
"CV",6786,"CV",6786,"BYS","Oxygenator, Long Term Support Greater Than 6 Hours","2",2,,"N","N",78,,,870.409973144531,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BYT","Ventilator, External Body, Negative Pressure, Adult (Cuirass)","2",2,,"N","N",78,,,868.593505859375,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BYW","Device, Rebreathing","1",1,,"N","N",78,,,868.567504882812,4,,,,,"N","N"
"AN",6578,"AN",6578,"BYX","Tubing, Pressure And Accessories","1",1,,"N","N",78,,,868.585998535156,4,,,,,"N","N"
"HO",7279,"HO",7279,"BYY","Tube, Aspirating, Flexible, Connecting","2",2,,"N","N",78,,,880.674011230469,4,,,,,"N","N"
"HO",7279,"HO",7279,"BYZ","Trap, Sterile Specimen","2",2,,"N","N",78,,,880.674011230469,4,,,,,"N","N"
"AN",6578,"AN",6578,"BZA","Connector, Airway (Extension)","1",1,,"N","N",78,,,868.580993652344,4,,,,,"N","N"
"AN",6578,"AN",6578,"BZB","Catheter, Nasal, Oxygen","1",1,,"N","N",78,,,868.534973144531,4,,,,,"N","N"
"AN",6578,"AN",6578,"BZC","Calculator, Pulmonary Function Data","2",2,,"N","P",80,,,868.18798828125,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZD","Ventilator, Non-Continuous (Respirator)","2",2,,"N","N",78,,,868.590515136719,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZE","Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer","2",2,,"N","P",80,,,868.526977539062,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZG","Spirometer, Diagnostic","2",2,,"N","P",80,,,868.184020996094,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZH","Meter, Peak Flow, Spirometry","2",2,,"N","P",80,,,868.185974121094,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZK","Spirometer, Monitoring (W/Wo Alarm)","2",2,,"N","P",80,,,868.184997558594,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZL","Computer, Oxygen-Uptake","2",2,,"N","P",80,,,868.172973632812,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZM","Calculator, Pulmonary Function Interpretor (Diagnostic)","2",2,,"N","P",80,,,868.190002441406,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZN","Cart, Emergency, Cardiopulmonary (Excluding Equipment)","1",1,,"Y","N",78,,,868.617492675781,4,,,,,"N","N"
"AN",6578,"AN",6578,"BZO","Set, Tubing And Support, Ventilator (W Harness)","1",1,,"N","N",78,,,868.597473144531,4,,,,,"N","N"
"AN",6578,"AN",6578,"BZQ","Monitor, Breathing Frequency","2",2,,"N","Y",89,,,868.237487792969,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZR","Mixer, Breathing Gases, Anesthesia Inhalation","2",2,,"N","P",80,,,868.533020019531,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BZS","Stethoscope Head","1",1,,"N","N",78,,,868.192993164062,4,,,,,"N","N"
"AN",6578,"AN",6578,"BZT","Stethoscope, Esophageal, With Electrical Conductors","2",2,,"N","P",80,,,868.192016601562,1,,,,,"N","N"
"AN",6578,"AN",6578,"BZW","Stethoscope, Esophageal","1",1,,"N","N",78,,,868.190979003906,4,,,,,"N","N"
"AN",6578,"AN",6578,"CAC","Apparatus, Autotransfusion","2",2,,"N","N",78,,,868.5830078125,1,,,,,"N","Y"
"AN",6578,"AN",6578,"CAD","Vaporizer, Anesthesia, Non-Heated","2",2,,"N","P",80,,,868.588012695312,1,,,,,"N","N"
"AN",6578,"AN",6578,"CAE","Airway, Oropharyngeal, Anesthesiology","1",1,,"N","N",78,,,868.510986328125,4,,,,,"N","N"
"AN",6578,"AN",6578,"CAF","Nebulizer (Direct Patient Interface)","2",2,,"N","Y",89,"M",77,868.56298828125,1,,,,,"N","N"
"AN",6578,"AN",6578,"CAG","Circulator, Breathing-Circuit","2",2,,"N","P",80,,,868.525024414062,1,,,,,"N","Y"
"HO",7279,"AN",6578,"CAH","Filter, Bacterial, Breathing-Circuit","2",2,,"N","P",80,,,868.526000976562,1,,,,,"N","N"
"AN",6578,"AN",6578,"CAI","Circuit, Breathing (W Connector, Adaptor, Y Piece)","1",1,,"N","N",78,,,868.523986816406,4,,,,,"N","N"
"HO",7279,"HO",7279,"CAK","Microfilter, Blood Transfusion","2",2,,"N","N",78,,,880.544006347656,1,,,,,"N","N"
"AN",6578,"AN",6578,"CAL","Laryngoscope, Non-Rigid","1",1,,"N","N",78,,,868.552978515625,4,,,,,"N","N"
"AN",6578,"AN",6578,"CAM","Yoke Assembly, Medical Gas","1",1,,"N","N",78,,,868.6884765625,4,,,,,"N","N"
"AN",6578,"AN",6578,"CAN","Regulator, Pressure, Gas Cylinder","1",1,,"N","N",78,,,868.27001953125,4,,,,,"N","N"
"AN",6578,"AN",6578,"CAO","Airway, Esophageal (Obturator)","2",2,,"N","N",78,,,868.565002441406,1,,,,,"N","Y"
"AN",6578,"AN",6578,"CAP","Monitor, Airway Pressure (Includes Gauge And/Or Alarm)","2",2,,"N","P",80,,,868.260009765625,1,,,,,"N","N"
"HO",7279,"HO",7279,"CAR","Monitor, Spinal-Fluid Pressure, Electrically Powered","2",2,,"N","P",80,,,880.245971679688,1,,,,,"N","N"
"AN",6578,"AN",6578,"CAT","Cannula, Nasal, Oxygen","1",1,,"N","N",78,,,868.533996582031,4,,,,,"N","N"
"AN",6578,"AN",6578,"CAW","Generator, Oxygen, Portable","2",2,,"N","Y",89,,,868.544006347656,1,,,,,"N","N"
"AN",6578,"AN",6578,"CAX","Flowmeter, Tube, Thorpe, Back-Pressure Compensated","1",1,,"N","N",78,,,868.234008789062,4,,,,,"N","N"
"AN",6578,"AN",6578,"CAZ","Anesthesia Conduction Kit","2",2,,"N","P",80,,,868.513977050781,1,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","N","N"
"AN",6578,"AN",6578,"CBA","Monitor, Air Embolism, Ultrasonic","2",2,,"N","P",80,,,868.202514648438,1,,,,,"N","N"
"HO",7279,"HO",7279,"CBC","Bottle, Collection And Trap, Breathing System (Uncalibrated)","2",2,,"N","N",78,,,880.674011230469,4,,,,,"N","N"
"HO",7279,"HO",7279,"CBD","Bottle, Collection, Breathing System (Calibrated)","2",2,,"N","N",78,,,880.674011230469,4,,,,,"N","N"
"AN",6578,"AN",6578,"CBF","Chamber, Hyperbaric","2",2,,"N","Y",89,,,868.546997070312,1,,,,,"N","Y"
"AN",6578,"AN",6578,"CBG","Spreader, Cuff","1",1,,"Y","N",78,,,868.575988769531,4,,,,,"N","N"
"AN",6578,"AN",6578,"CBH","Device, Fixation, Tracheal Tube","1",1,,"N","N",78,,,868.577026367188,4,,,,,"N","N"
"AN",6578,"AN",6578,"CBI","Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)","2",2,,"N","N",78,,,868.573974609375,1,,,,,"N","Y"
"AN",6578,"AN",6578,"CBK","Ventilator, Continuous, Facility Use","2",2,,"N","N",78,,,868.589477539062,1,,,,,"N","Y"
"AN",6578,"AN",6578,"CBL","Absorbent, Carbon-Dioxide","1",1,,"N","N",78,,,868.530029296875,4,,,,,"N","N"
"AN",6578,"AN",6578,"CBN","Apparatus, Gas-Scavenging","2",2,,"N","P",80,,,868.543029785156,1,,,,,"N","N"
"AN",6578,"AN",6578,"CBO","Attachment, Intermittent Mandatory Ventilation (Imv)","2",2,,"N","N",78,,,868.595520019531,1,,,,,"N","Y"
"AN",6578,"AN",6578,"CBP","Valve, Non-Rebreathing","2",2,,"N","P",80,,,868.586975097656,1,,,,,"N","Y"
"AN",6578,"AN",6578,"CBQ","Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)","2",2,,"N","P",80,,,868.150024414062,1,,,,,"N","N"
"AN",6578,"AN",6578,"CBR","Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)","2",2,,"N","P",80,,,868.169982910156,1,,,,,"N","N"
"AN",6578,"AN",6578,"CBS","Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)","2",2,,"N","P",80,,,868.161987304688,1,,,,,"N","N"
"AN",6578,"AN",6578,"CBT","Arterial Blood Sampling Kit","1",1,,"N","N",78,,,868.109985351562,7,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","N","N"
"AN",6578,"AN",6578,"CBZ","Analyzer, Ion, Hydrogen-Ion (Ph), Blood-Phase, Indwelling","2",2,,"N","P",80,,,868.117004394531,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCC","Analyzer, Gas, Carbon-Dioxide, Partial Pressure, Blood-Phase, Indwelling","2",2,,"N","P",80,,,868.114990234375,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCE","Analyzer, Gas, Oxygen, Partial Pressure, Blood-Phase, Indwelling","2",2,,"N","P",80,,,868.119995117188,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCI","Analyzer, Gas, Nitrogen, Gaseous-Phase","2",2,,"N","P",80,,,868.169006347656,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCJ","Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase","2",2,,"N","P",80,,,868.143005371094,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCK","Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase","2",2,,"N","P",80,,,868.140014648438,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCL","Analyzer, Gas, Oxygen, Gaseous-Phase","2",2,,"N","P",80,,,868.171997070312,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCM","Plethysmograph, Pressure","2",2,,"N","P",80,,,868.174987792969,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCN","Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge","1",1,,"N","N",78,,,868.22998046875,4,,,,,"N","N"
"AN",6578,"AN",6578,"CCO","Bed, Rocking, Breathing Assist","2",2,,"N","P",80,,,868.518005371094,4,,,,,"N","Y"
"AN",6578,"AN",6578,"CCQ","Nebulizer, Medicinal, Non-Ventilatory (Atomizer)","1",1,,"N","N",78,,,868.564025878906,4,,,,,"N","N"
"AN",6578,"AN",6578,"CCT","Applicator (Laryngo-Tracheal), Topical Anesthesia","2",2,,"N","P",80,,,868.517028808594,1,,,,,"N","N"
"AN",6578,"AN",6578,"CCW","Laryngoscope, Rigid","1",1,,"N","N",78,,,868.554016113281,4,,,,,"N","N"
"AN",6578,"AN",6578,"CCX","Support, Patient Position","1",1,,"N","N",78,,,868.682006835938,4,,,,,"N","N"
"CH",6772,"CH",6772,"CCY","Zimmerman (Spectrophotometric), 17-Ketosteroids","1",1,,"N","N",78,,,862.143005371094,4,,,,,"N","N"
"CH",6772,"CH",6772,"CCZ","Zimmerman/Norymberski, 17-Ketogenic Steroids","1",1,,"N","N",78,,,862.138488769531,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDA","Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin","1",1,,"N","N",78,,,862.138977050781,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDB","Porter Silber Hydrazone, 17-Hydroxycorticosteroids","1",1,,"N","N",78,,,862.138488769531,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDC","L-Leucyl B-Naphthylamide, Leucine Aminopeptidase","1",1,,"N","N",78,,,862.14599609375,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDD","Radioassay, Vitamin B12","2",2,,"N","P",80,,,862.181030273438,1,,,,,"N","N"
"CH",6772,"CH",6772,"CDE","Chromatographic Separation/Zimmerman, 17-Ketosteroids","1",1,,"N","N",78,,,862.143005371094,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDF","Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin","1",1,,"N","N",78,,,862.179504394531,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDG","Chromatography Separation/Zimmerman 17-Ketogenic Steroids","1",1,,"N","N",78,,,862.138488769531,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDH","Acid, Uric, Phosphotungstate Reduction","1",1,,"N","Y",89,,,862.177490234375,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDK","Acid, Vanilmandelic, Electrophoretic Separation","1",1,,"N","N",78,,,862.179504394531,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDL","Berthelot Indophenol, Urea Nitrogen","2",2,,"N","Y",89,,,862.177001953125,1,,,,,"N","N"
"CH",6772,"CH",6772,"CDM","Diazonium Colorimetry, Urobilinogen (Urinary, Non-Quant.)","1",1,,"N","N",78,,,862.178527832031,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDN","Urease, Photometric, Urea Nitrogen","2",2,,"N","Y",89,,,862.177001953125,1,,,,,"N","N"
"CH",6772,"CH",6772,"CDO","Acid, Uric, Uricase (U.V.)","1",1,,"N","Y",89,,,862.177490234375,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDP","Radioimmunoassay, Total Triiodothyronine","2",2,,"N","N",78,,,862.171020507812,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDQ","Urease And Glutamic Dehydrogenase, Urea Nitrogen","2",2,,"N","Y",89,,,862.177001953125,1,,,,,"N","N"
"CH",6772,"CH",6772,"CDR","1-Nitroso-2-Naphthol (Fluorometric), Free Tyrosine","1",1,,"N","Y",89,,,862.172973632812,1,,,,,"N","N"
"CH",6772,"CH",6772,"CDS","Electrode, Ion Specific, Urea Nitrogen","2",2,,"N","Y",89,,,862.177001953125,1,,,,,"N","N"
"CH",6772,"CH",6772,"CDT","Lipase Hydrolysis/Glycerol Kinase Enzyme, Triglycerides","1",1,,"N","N",78,,,862.170471191406,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDW","Diacetyl-Monoxime, Urea Nitrogen","2",2,,"N","Y",89,,,862.177001953125,1,,,,,"N","N"
"CH",6772,"CH",6772,"CDX","Radioimmunoassay, Total Thyroxine","2",2,,"N","P",80,,,862.169982910156,4,,,,,"N","N"
"CH",6772,"CH",6772,"CDZ","Radioimmunoassay, Testosterones And Dihydrotestosterone","1",1,,"N","Y",89,,,862.168029785156,1,,,,,"N","N"
"CH",6772,"CH",6772,"CEA","Tlc Chromatographic Separation Triglycerides","1",1,,"N","N",78,,,862.170471191406,4,,,,,"N","N"
"CH",6772,"CH",6772,"CEC","Radioimmunoassay, Free Thyroxine","2",2,,"N","P",80,,,862.169494628906,1,,,,,"N","N"
"CH",6772,"CH",6772,"CED","5-Amp-Phosphate Release (Colorimetric Test), 5'-Nucleotidase","1",1,,"N","N",78,,,862.151977539062,4,,,,,"N","N"
"CH",6772,"CH",6772,"CEE","Radioimmunoassay, Thyroxine-Binding Globulin","2",2,,"N","P",80,,,862.168518066406,4,,,,,"N","N"
"CH",6772,"CH",6772,"CEF","Electrophoretic, Protein Fractionation","1",1,,"N","N",78,,,862.163024902344,4,,,,,"N","N"
