code;text;long;starcode;never_main;gender;nonspecific
A052;Matforgiftning som skyldes Clostridium perfringens;Matforgiftning som skyldes Clostridium perfringens;;;;
A053;Matforgiftning som skyldes Vibrio parahaemolyticus;Matforgiftning som skyldes Vibrio parahaemolyticus;;;;
A054;Matforgiftning som skyldes Bacillus cereus;Matforgiftning som skyldes Bacillus cereus;;;;
A058;Annen spesifisert bakteriell matforgiftning;Andre spesifiserte bakterielle matforgiftninger;;;;
A059;Uspesifisert bakteriell matforgiftning;Uspesifisert bakteriell matforgiftning;;;;X
A060;Akutt amøbedysenteri;Akutt amøbedysenteri;;;;
A061;Kronisk amøbeinfeksjon i tarmkanalen;Kronisk amøbeinfeksjon i tarmkanalen;;;;
A062;Amøbekolitt uten dysenteri;Amøbekolitt uten dysenteri;;;;
A063;Amøbom i tarmkanalen;Amøbom i tarmkanalen;;;;
A064;Amøbeabscess i lever;Amøbeabscess i lever;;;;
A065;Amøbeabscess i lunge;Amøbeabscess i lunge (og lever);;;;
A066;Amøbeabscess i hjerne;Amøbeabscess i hjerne (og lever/og lunge);;;;
A067;Amøbeinfeksjon i hud;Amøbeinfeksjon i hud;;;;
A068;Amøbeinfeksjon med annen spesifisert lokalisasjon;Amøbeinfeksjon med annen spesifisert lokalisasjon;;;;
A069;Uspesifisert amøbeinfeksjon;Uspesifisert amøbeinfeksjon;;;;X
A070;Balantidiasis;Balantidiasis;;;;
A071;Infeksjon som skyldes Giardia lamblia;Infeksjon som skyldes Giardia lamblia;;;;
A072;Cryptosporidiosis;Cryptosporidiosis;;;;
A073;Isosporiasis;Isosporiasis;;;;
A078;Annen spesifisert protozosykdom i tarmkanalen;Andre spesifiserte protozosykdommer i tarmkanalen;;;;
A079;Uspesifisert protozosykdom i tarmkanalen;Uspesifisert protozosykdom i tarmkanalen;;;;X
A080;Rotavirusenteritt;Rotavirusenteritt;;;;
A081;Akutt gastroenteritt som skyldes norovirus;Akutt gastroenteritt som skyldes norovirus;;;;
A082;Adenovirusenteritt;Adenovirusenteritt;;;;
A083;Annen virusenteritt;Annen virusenteritt;;;;
A084;Uspesifisert virusinfeksjon i mage-tarmkanalen;Uspesifisert virusinfeksjon i mage-tarmkanalen;;;;X
A085;Annen spesifisert mage-tarminfeksjon;Andre spesifiserte mage-tarminfeksjoner;;;;
A090;Annen eller uspesifisert gastroenteritt eller kolitt av infeksiøs årsak;Annen og uspes. gastroenteritt og kolitt av infeksiøs årsak;;;;
A099;Gastroenteritt eller kolitt av uspesifisert årsak;Gastroenteritt og kolitt av uspesifisert årsak;;;;X
A150;Lungetuberkulose bekreftet ved mikroskopi av sputum med eller uten kultur;Lungetbc bekr. v. mikroskopi av sputum med eller uten kultur;;;;
A151;Lungetuberkulose som kun er bekreftet ved kultur;Lungetuberkulose, kun bekreftet ved kultur;;;;
A152;Histologisk bekreftet lungetuberkulose;Lungetuberkulose, histologisk bekreftet;;;;
A153;Lungetuberkulose som er bekreftet på ikke angitt måte;Lungetuberkulose, bekreftet på ikke angitt måte;;;;
A154;Tuberkulose i intratorakal lymfeknute som er bekreftet bakteriologisk eller histologisk;Tbc i intratorakale lymfekn., bakt. og histologisk bekr.;;;;
A155;Tuberkulose i strupehode, glottis, luftrør eller bronkie som er bekreftet bakteriologisk eller histologisk;Tbc i str.hode/glottis/luftrør/bronkie, bakt. og hist. bekr.;;;;
A156;Tuberkuløs pleuritt som er bekreftet bakteriologisk eller histologisk;Tuberkuløs pleuritt, bakteriologisk og histologisk bekreftet;;;;
A157;Primær tuberkulose i åndedrettsorgan som er bekreftet bakteriologisk eller histologisk;Primær tbc i å.dr.org., bakteriologisk og histologisk bekr.;;;;
A158;Tuberkulose i annet spesifisert åndedrettsorgan som er bekreftet bakteriologisk eller histologisk;Annen spes. tbc i å.dr.org., bakt. og histologisk bekreftet;;;;
A159;Tuberkulose i uspesifisert åndedrettsorgan som er bekreftet bakteriologisk eller histologisk;Uspesifisert tbc i å.dr.org., bakt. og histologisk bekreftet;;;;X
A160;Lungetuberkulose som bakteriologisk og histologisk er negativ;Lungetuberkulose, bakteriologisk og histologisk negativ;;;;
A161;Lungetuberkulose uten utført bakteriologisk eller histologisk undersøkelse;Lungetbc, bakt. og histologisk undersøkelse ikke utført;;;;
A162;Lungetuberkulose uten nevnt bakteriologisk eller histologisk bekreftelse;Lungetbc, bakt. eller histologisk bekreftelse ikke nevnt;;;;
A163;Tuberkulose i intratorakal lymfeknute, uten nevnt bakteriologisk eller histologisk bekreftelse;Tbc i intrator. lymfekn., bakt. el. hist. bekr. ikke nevnt;;;;
A164;Tuberkulose i strupehode, luftrør eller bronkie, uten nevnt bakteriologisk eller histologisk bekreftelse;Tbc i str.hode/luftr./bronkie, bakt. el. hist. bekr. ikke n.;;;;
A165;Tuberkuløs pleuritt uten nevnt bakteriologisk eller histologisk bekreftelse;Tuberk. pleuritt, bakt. el. hist. bekreftelse ikke nevnt;;;;
A167;Primær tuberkulose i åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse;Primær tbc i å.dr.org., bakt. el. hist. bekr. ikke nevnt;;;;
A168;Tuberkulose i annet spesifisert åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse;A. spes. tbc i å.dr.org., bakt. el. hist. bekr. ikke nevnt;;;;
A169;Tuberkulose i uspesifisert åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse;Uspes. tbc i å.dr.org., bakt. el. hist. bekr. ikke nevnt;;;;X
A170;Tuberkuløs meningitt;Tuberkuløs meningitt;;;;
A171;Meningealt tuberkulom;Meningealt tuberkulom;;;;
A178;Annen spesifisert tuberkulose i nervesystemet;Annen spesifisert tuberkulose i nervesystemet;;;;
A179;Uspesifisert tuberkulose i nervesystemet;Uspesifisert tuberkulose i nervesystemet;;;;X
A180;Tuberkulose i ben eller ledd;Tuberkulose i ben og ledd;;;;
A181;Tuberkulose i urin- eller kjønnsorganer;Tuberkulose i urin- og kjønnsorganer;;;;
A182;Tuberkuløs sykdom i perifer lymfeknute;Tuberkuløs sykdom i perifere lymfeknuter;;;;
A183;Tuberkulose i tarm, bukhinne eller lymfeknute i mesenterium;Tuberkulose i tarmer, bukhinne og lymfeknuter i mesenterium;;;;
A184;Tuberkulose i hud eller underhudsvev;Tuberkulose i hud og underhudsvev;;;;
A185;Tuberkulose i øye;Tuberkulose i øye;;;;
A186;Tuberkulose i øre;Tuberkulose i øre;;;;
A187;Tuberkulose i binyre;Tuberkulose i binyrer;;;;
A188;Tuberkulose i annet spesifisert organ;Tuberkulose i andre spesifiserte organer;;;;
A190;Akutt miliærtuberkulose i én enkelt spesifisert lokalisasjon;Akutt miliærtuberkulose, én enkelt spesifisert lokalisasjon;;;;
A191;Akutt miliærtuberkulose i flere lokalisasjoner;Akutt miliærtuberkulose, flere lokalisasjoner;;;;
A192;Akutt miliærtuberkulose i uspesifisert lokalisasjon;Uspesifisert akutt miliærtuberkulose;;;;X
A198;Annen spesifisert miliærtuberkulose;Annen spesifisert miliærtuberkulose;;;;
A199;Uspesifisert miliærtuberkulose;Uspesifisert miliærtuberkulose;;;;X
A200;Bubonpest;Bubonpest;;;;
A201;Hudpest;Hudpest;;;;
A202;Lungepest;Lungepest;;;;
A203;Pestmeningitt;Pestmeningitt;;;;
A207;Sepsispest;Sepsispest;;;;
A208;Annen spesifisert pest;Annen spesifisert pest;;;;
A209;Uspesifisert pest;Uspesifisert pest;;;;X
A210;Ulceroglandulær tularemi;Ulceroglandulær tularemi;;;;
A211;Okuloglandulær tularemi;Okuloglandulær tularemi;;;;
A212;Pulmonal tularemi;Pulmonal tularemi;;;;
A213;Gastrointestinal tularemi;Gastrointestinal tularemi;;;;
A217;Generalisert tularemi;Generalisert tularemi;;;;
A218;Annen spesifisert tularemi;Annen spesifisert tularemi;;;;
A219;Uspesifisert tularemi;Uspesifisert tularemi;;;;X
A220;Hudmiltbrann;Hudmiltbrann;;;;
A221;Lungemiltbrann;Lungemiltbrann;;;;
A222;Gastrointestinal miltbrann;Gastrointestinal miltbrann;;;;
A227;Miltbrannsepsis;Miltbrannsepsis;;;;
A228;Annen spesifisert miltbrann;Annen spesifisert miltbrann;;;;
A229;Uspesifisert miltbrann;Uspesifisert miltbrann;;;;X
A230;Brucellose som skyldes Brucella melitensis;Brucellose som skyldes Brucella melitensis;;;;
A231;Brucellose som skyldes Brucella abortus;Brucellose som skyldes Brucella abortus;;;;
A232;Brucellose som skyldes Brucella suis;Brucellose som skyldes Brucella suis;;;;
A233;Brucellose som skyldes Brucella canis;Brucellose som skyldes Brucella canis;;;;
A238;Annen spesifisert brucellose;Annen spesifisert brucellose;;;;
A239;Uspesifisert brucellose;Uspesifisert brucellose;;;;X
A240;Snive;Snive;;;;
A241;Akutt eller fulminant melioidose;Akutt og fulminant melioidose;;;;
A242;Subakutt eller kronisk melioidose;Subakutt og kronisk melioidose;;;;
A243;Annen melioidose;Annen melioidose;;;;
A244;Uspesifisert melioidose;Uspesifisert melioidose;;;;X
A250;Spirillose;Spirillose;;;;
A251;Streptobasillose;Streptobasillose;;;;
A259;Uspesifisert rottebittfeber;Uspesifisert rottebittfeber;;;;X
A260;Kutan erysipeloid;Kutan erysipeloid;;;;
A267;Sepsis som skyldes Erysipelothrix;Sepsis som skyldes Erysipelothrix;;;;
A268;Annen spesifisert erysipeloid;Annen spesifisert erysipeloid;;;;
A269;Uspesifisert erysipeloid;Uspesifisert erysipeloid;;;;X
A270;Leptospirosis icterohaemorrhagica;Leptospirosis icterohaemorrhagica;;;;
A278;Annen spesifisert leptospirose;Annen spesifisert leptospirose;;;;
A279;Uspesifisert leptospirose;Uspesifisert leptospirose;;;;X
A280;Pasteurellose;Pasteurellose;;;;
A281;Katteklorfeber;Katteklorfeber;;;;
A282;Ekstraintestinal yersiniose;Ekstraintestinal yersiniose;;;;
A288;Annen spesifisert bakteriell zoonose ikke klassifisert annet sted;Andre spesifiserte bakterielle zoonoser IKAS;;;;
A289;Uspesifisert bakteriell zoonose;Uspesifisert bakteriell zoonose;;;;X
A300;Ubestemt lepra;Ubestemt lepra;;;;
A301;Tuberkuloid lepra;Tuberkuloid lepra;;;;
A302;Tuberkuloid lepra av grensetype;Tuberkuloid lepra av grensetype;;;;
A303;Lepra av grensetype;Lepra av grensetype;;;;
A304;Lepromatøs lepra av grensetype;Lepromatøs lepra av grensetype;;;;
A305;Lepromatøs lepra;Lepromatøs lepra;;;;
A308;Annen spesifisert lepra;Annen spesifisert lepra;;;;
A309;Uspesifisert lepra;Uspesifisert lepra;;;;X
A310;Mykobakteriell lungeinfeksjon;Mykobakteriell lungeinfeksjon;;;;
A311;Mykobakteriell hudinfeksjon;Mykobakteriell hudinfeksjon;;;;
A318;Annen spesifisert infeksjon som skyldes mykobakterie;Andre spesifiserte infeksjoner som skyldes mykobakterier;;;;
A319;Uspesifisert infeksjon som skyldes mykobakterie;Uspesifisert infeksjon som skyldes mykobakterier;;;;X
A320;Hudlisteriose;Hudlisteriose;;;;
A321;Meningitt eller meningoencefalitt som skyldes Listeria;Meningitt og meningoencefalitt som skyldes Listeria;;;;
A327;Listeriasepsis;Listeriasepsis;;;;
A328;Annen spesifisert listeriose;Annen spesifisert listeriose;;;;
A329;Uspesifisert listeriose;Uspesifisert listeriose;;;;X
A33;Stivkrampe hos nyfødt;Stivkrampe hos nyfødt;;;;
A34;Stivkrampe etter fødsel;Stivkrampe etter fødsel;;;K;
A35;Annen stivkrampe;Annen stivkrampe;;;;
A360;Svelgdifteri;Svelgdifteri;;;;
A361;Difteri i nasopharynx;Difteri i nasopharynx;;;;
A362;Larynksdifteri;Larynksdifteri;;;;
A363;Kutan difteri;Kutan difteri;;;;
A368;Annen spesifisert difteri;Annen spesifisert difteri;;;;
A369;Uspesifisert difteri;Uspesifisert difteri;;;;X
A370;Kikhoste som skyldes Bordetella pertussis;Kikhoste som skyldes Bordetella pertussis;;;;
A371;Kikhoste som skyldes Bordetella parapertussis;Kikhoste som skyldes Bordetella parapertussis;;;;
A378;Kikhoste som skyldes annen spesifisert bordetella-art;Kikhoste som skyldes andre spesifiserte bordetella-arter;;;;
A379;Uspesifisert kikhoste;Uspesifisert kikhoste;;;;X
A38;Skarlagensfeber;Skarlagensfeber;;;;
A390;Meningokokkmeningitt;Meningokokkmeningitt;;;;
A391;Waterhouse-Friderichsens syndrom;Waterhouse-Friderichsens syndrom;;;;
A392;Akutt meningokokkemi;Akutt meningokokkemi;;;;
A393;Kronisk meningokokkemi;Kronisk meningokokkemi;;;;
A394;Uspesifisert meningokokkemi;Uspesifisert meningokokkemi;;;;X
A395;Hjertesykdom forårsaket av Meningococcus;Hjertesykdom forårsaket av Meningococcus;;;;
A398;Annen spesifisert meningokokkinfeksjon;Andre spesifiserte meningokokkinfeksjoner;;;;
A399;Uspesifisert meningokokkinfeksjon;Uspesifisert meningokokkinfeksjon;;;;X
A400;Sepsis som skyldes Streptococcus serogruppe A;Sepsis som skyldes Streptococcus, serogruppe A;;;;
A401;Sepsis som skyldes Streptococcus serogruppe B;Sepsis som skyldes Streptococcus, serogruppe B;;;;
A402;Sepsis som skyldes Streptococcus serogruppe D;Sepsis som skyldes Streptococcus, serogruppe D;;;;
A403;Sepsis som skyldes Streptococcus pneumoniae;Sepsis som skyldes Streptococcus pneumoniae;;;;
A408;Annen spesifisert streptokokksepsis;Annen spesifisert streptokokksepsis;;;;
A409;Uspesifisert streptokokksepsis;Uspesifisert streptokokksepsis;;;;X
A410;Sepsis som skyldes Staphylococcus aureus;Sepsis som skyldes Staphylococcus aureus;;;;
A411;Sepsis som skyldes annen spesifisert stafylokokk;Sepsis som skyldes andre spesifiserte stafylokokker;;;;
A412;Sepsis som skyldes uspesifisert stafylokokk;Sepsis som skyldes uspesifiserte stafylokokker;;;;X
A413;Sepsis som skyldes Haemophilus influenzae;Sepsis som skyldes Haemophilus influenzae;;;;
A414;Sepsis som skyldes anaerob bakterie;Sepsis som skyldes anaerobe bakterier;;;;
A415;Sepsis som skyldes annen gram-negativ organisme;Sepsis som skyldes andre gram-negative organismer;;;;
A418;Annen spesifisert sepsis;Annen spesifisert sepsis;;;;
A419;Uspesifisert sepsis;Uspesifisert sepsis;;;;X
A420;Pulmonal aktinomykose;Pulmonal aktinomykose;;;;
A421;Abdominal aktinomykose;Abdominal aktinomykose;;;;
A422;Cervikofacial aktinomykose;Cervikofacial aktinomykose;;;;
A427;Aktinomykotisk sepsis;Aktinomykotisk sepsis;;;;
A428;Annen spesifisert aktinomykose;Annen spesifisert aktinomykose;;;;
A429;Uspesifisert aktinomykose;Uspesifisert aktinomykose;;;;X
A430;Pulmonal nokardiose;Pulmonal nokardiose;;;;
A431;Kutan nokardiose;Kutan nokardiose;;;;
A438;Annen spesifisert nokardiose;Annen spesifisert nokardiose;;;;
A439;Uspesifisert nokardiose;Uspesifisert nokardiose;;;;X
A440;Systemisk bartonellose;Systemisk bartonellose;;;;
A441;Kutan eller mukokutan bartonellose;Kutan og mukokutan bartonellose;;;;
A448;Annen spesifisert bartonellose;Annen spesifisert bartonellose;;;;
A449;Uspesifisert bartonellose;Uspesifisert bartonellose;;;;X
A46;Erysipelas;Erysipelas;;;;
A480;Gassgangren;Gassgangren;;;;
A481;Legionærsykdom;Legionærsykdom;;;;
A482;Legionærsykdom uten pneumoni;Legionærsykdom uten pneumoni;;;;
A483;Toksisk sjokksyndrom;Toksisk sjokksyndrom;;;;
A484;Brasiliansk purpura fulminans;Brasiliansk purpura fulminans;;;;
A488;Annen spesifisert bakteriesykdom;Andre spesifiserte bakteriesykdommer;;;;
A490;Stafylokokkinfeksjon med uspesifisert lokalisasjon;Stafylokokkinfeksjon med uspesifisert lokalisasjon;;;;X
A491;Streptokokk- eller enterokokkinfeksjon med uspesifisert lokalisasjon;Streptokokk- el. enterokokkinfeksjon m/uspesifisert lok;;;;X
A492;Infeksjon med uspesifisert lokalisasjon, som skyldes Haemophilus influenzae;Infeksjon med uspes. lok. som skyldes Haemophilus influenzae;;;;X
A493;Mykoplasmainfeksjon med uspesifisert lokalisasjon;Mykoplasmainfeksjon med uspesifisert lokalisasjon;;;;X
A498;Annen bakterieinfeksjon med uspesifisert lokalisasjon;Andre bakterieinfeksjoner med uspesifisert lokalisasjon;;;;X
A499;Uspesifisert bakterieinfeksjon;Uspesifisert bakterieinfeksjon;;;;X
A500;Symptomgivende medfødt tidlig syfilis;Tidlig medfødt syfilis, symptomgivende;;;;
A501;Latent medfødt tidlig syfilis;Tidlig medfødt syfilis, latent;;;;
A502;Uspesifisert medfødt tidlig syfilis;Tidlig medfødt syfilis, uspesifisert;;;;X
A503;Øyesykdom ved medfødt sen syfilis;Øyesykdom ved sen medfødt syfilis;;;;
A504;Medfødt nevrosyfilis;Medfødt nevrosyfilis;;;;
A505;Annen medfødt sen syfilis med symptomer eller stigmata;Annen sen medfødt syfilis med symptomer eller stigmata;;;;
A506;Latent medfødt sen syfilis;Sen medfødt syfilis, latent;;;;
A507;Uspesifisert medfødt sen syfilis;Sen medfødt syfilis, uspesifisert;;;;X
A509;Uspesifisert medfødt syfilis;Uspesifisert medfødt syfilis;;;;X
A510;Primær genital syfilis;Primær genital syfilis;;;;
A511;Primær anal syfilis;Primær anal syfilis;;;;
A512;Primær syfilis med annen lokalisasjon;Primær syfilis med annen lokalisasjon;;;;
A513;Sekundær syfilis i hud eller slimhinner;Sekundær syfilis i hud og slimhinner;;;;
A514;Annen sekundær syfilis;Annen sekundær syfilis;;;;
A515;Tidlig latent syfilis;Tidlig latent syfilis;;;;
A519;Uspesifisert tidlig syfilis;Uspesifisert tidlig syfilis;;;;X
A520;Kardiovaskulær syfilis;Kardiovaskulær syfilis;;;;
A521;Symptomgivende nevrosyfilis;Symptomgivende nevrosyfilis;;;;
A522;Asymptomatisk nevrosyfilis;Asymptomatisk nevrosyfilis;;;;
A523;Uspesifisert nevrosyfilis;Uspesifisert nevrosyfilis;;;;X
A527;Annen symptomgivende sensyfilis;Annen symptomgivende sensyfilis;;;;
A528;Latent sensyfilis;Latent sensyfilis;;;;
A529;Uspesifisert sensyfilis;Uspesifisert sensyfilis;;;;X
A530;Latent syfilis der debuttidspunkt ikke er spesifisert;Latent syfilis, der debuttidspunkt ikke er spesifisert;;;;
A539;Uspesifisert syfilis;Uspesifisert syfilis;;;;X
A540;Gonokokkinfeksjon i nedre urogenitalsystem uten periuretral abscess eller abscess i tilliggende kjertel;Gc-inf., n. urog.syst. u. periur. absc. el. absc. till. kj.;;;;
A541;Gonokokkinfeksjon i nedre urogenitalsystem med periuretral abscess eller abscess i tilliggende kjertel;Gc-infek., n. urog.syst. m. periur. absc. og absc. till. kj.;;;;
A542;Gonokokkpelviperitonitt eller annen gonokokkinfeksjon i kjønnsorgan eller urinveier;Gc-pelviperitonitt og andre gc.infek i kj.org. og u.veier;;;;
A543;Gonokokkinfeksjon i øye;Gonokokkinfeksjon i øye;;;;
A544;Gonokokkinfeksjon i muskel-skjelettsystem;Gonokokkinfeksjon i muskel-skjelettsystem;;;;
A545;Gonokokkfaryngitt;Gonokokkfaryngitt;;;;
A546;Gonokokkinfeksjon i endetarmsåpning eller endetarm;Gonokokkinfeksjon i endetarmsåpning og endetarm;;;;
A548;Annen spesifisert gonokokkinfeksjon;Andre spesifiserte gonokokkinfeksjoner;;;;
A549;Uspesifisert gonokokkinfeksjon;Uspesifisert gonokokkinfeksjon;;;;X
A55;Klamydialymfogranulom;Klamydialymfogranulom;;;;
A560;Klamydiainfeksjon i nedre urogenitalsystem;Klamydiainfeksjon i nedre urogenitalsystem;;;;
A561;Klamydiainfeksjon i urin- eller kjønnsorganer eller pelviperitoneum;Klamydiainfeksjon i u.- og kjønnsorganer el. pelviperitoneum;;;;
A562;Uspesifisert klamydiainfeksjon i kjønnsorganer eller urinveier;Uspesifisert klamydiainfeksjon i kjønnsorganer og urinveier;;;;X
A563;Klamydiainfeksjon i endetarmsåpning, analkanal eller endetarm;Klamydiainfeksjon i endetarmsåpning, analkanal og endetarm;;;;
A564;Klamydiainfeksjon i svelg;Klamydiainfeksjon i svelg;;;;
A568;Seksuelt overført klamydiainfeksjon med annen spesifisert lokalisasjon;Seksuelt overført klamydiainfeksjon med annen spes. lok.;;;;
A57;Bløt sjanker;Bløt sjanker;;;;
A58;Granuloma inguinale;Granuloma inguinale;;;;
A590;Urogenital trikomonasinfeksjon;Urogenital trikomonasinfeksjon;;;;
A598;Trikomonasinfeksjon med annen spesifisert lokalisasjon;Trikomonasinfeksjon med annen spesifisert lokalisasjon;;;;
A599;Uspesifisert trikomonasinfeksjon;Uspesifisert trikomonasinfeksjon;;;;X
A600;Herpesvirusinfeksjon i kjønnsorganer eller urinveier;Herpesvirusinfeksjon i kjønnsorganer og urinveier;;;;
A601;Herpesvirusinfeksjon i hud omkring endetarmsåpning, i analkanal eller endetarm;Herpesv.infek. i hud omkring e.tarmåpn., analk. og endetarm;;;;
A609;Uspesifisert anogenital herpesvirusinfeksjon;Uspesifisert anogenital herpesvirusinfeksjon;;;;X
A630;Anogenital venerisk vorte;Anogenitale (veneriske) vorter;;;;
A638;Annen spesifisert hovedsakelig seksuelt overførbar sykdom;Andre spesifiserte hovedsakelig seksuelt overførbare sykd.;;;;
A64;Uspesifisert seksuelt overførbar sykdom;Uspesifiserte seksuelt overførbare sykdommer;;;;X
A65;Ikke-venerisk syfilis;Ikke-venerisk syfilis;;;;
A660;Primær lesjon ved «yaws»;"Primære lesjoner ved ""yaws""";;;;
A661;Multiple papillomer og «wet crab yaws»;"Multiple papillomer og ""wet crab yaws""";;;;
A662;Annen tidlig hudlesjon ved «yaws»;"Andre tidlige hudlesjoner ved ""yaws""";;;;
A663;Hyperkeratose ved «yaws»;"Hyperkeratose ved ""yaws""";;;;
A664;Gumma eller ulcus ved «yaws»;"Gumma og ulcus ved ""yaws""";;;;
A665;Gangosa;Gangosa;;;;
A666;Knokkel- eller leddlesjon ved «yaws»;"Knokkel- og leddlesjoner ved ""yaws""";;;;
A667;Annen manifestasjon ved «yaws»;"Andre manifestasjoner ved ""yaws""";;;;
A668;Latent «yaws»;"Latent ""yaws""";;;;
A669;Uspesifisert «yaws»;"Uspesifisert ""yaws""";;;;X
A670;Primær lesjon ved pinta;Primære lesjoner ved pinta;;;;
A671;Intermediær lesjon ved pinta;Intermediære lesjoner ved pinta;;;;
A672;Sen lesjon ved pinta;Sene lesjoner ved pinta;;;;
A673;Blandet lesjon ved pinta;Blandede lesjoner ved pinta;;;;
A679;Uspesifisert pinta;Uspesifisert pinta;;;;X
A680;Tilbakefallsfeber overført ved lus;Tilbakefallsfeber overført ved lus;;;;
A681;Tilbakefallsfeber overført ved flått;Tilbakefallsfeber overført ved flått;;;;
A689;Uspesifisert tilbakefallsfeber;Uspesifisert tilbakefallsfeber;;;;X
A690;Nekrotiserende ulcerøs stomatitt;Nekrotiserende ulcerøs stomatitt;;;;
A691;Annen Vincent-infeksjon;Andre Vincent-infeksjoner;;;;
A692;Borreliose;Borreliose;;;;
A698;Annen spesifisert spiroketinfeksjon;Andre spesifiserte spiroketinfeksjoner;;;;
A699;Uspesifisert spiroketinfeksjon;Uspesifisert spiroketinfeksjon;;;;X
A70;Chlamydia psittaci-infeksjon;Chlamydia psittaci-infeksjon;;;;
A710;Tidlig stadium av trakom;Tidlig stadium av trakom;;;;
A711;Aktivt stadium av trakom;Aktivt stadium av trakom;;;;
A719;Uspesifisert trakom;Uspesifisert trakom;;;;X
A740;Klamydiakonjunktivitt;Klamydiakonjunktivitt;;;;
A748;Annen spesifisert klamydiasykdom;Andre spesifiserte klamydiasykdommer;;;;
A749;Uspesifisert klamydiainfeksjon;Uspesifisert klamydiainfeksjon;;;;X
A750;Epidemisk flekktyfus som skyldes Rickettsia prowazekii, overført ved lus;Epid. flekktyfus s.sk. Rickettsia prowazekii, overf. v. lus;;;;
A751;Flekktyfus med gjenoppblussing;Flekktyfus med gjenoppblussing;;;;
A752;Flekktyfus som skyldes Rickettsia typhi;Flekktyfus som skyldes Rickettsia typhi;;;;
A753;Flekktyfus som skyldes Rickettsia tsutsugamushi;Flekktyfus som skyldes Rickettsia tsutsugamushi;;;;
A759;Uspesifisert flekktyfus;Uspesifisert flekktyfus;;;;X
A770;Flekkfeber som skyldes Rickettsia rickettsii;Flekkfeber som skyldes Rickettsia rickettsii;;;;
A771;Flekkfeber som skyldes Rickettsia conorii;Flekkfeber som skyldes Rickettsia conorii;;;;
A772;Flekkfeber som skyldes Rickettsia siberica;Flekkfeber som skyldes Rickettsia siberica;;;;
A773;Flekkfeber som skyldes Rickettsia australis;Flekkfeber som skyldes Rickettsia australis;;;;
A778;Annen spesifisert flekkfeber;Annen spesifisert flekkfeber;;;;
A779;Uspesifisert flekkfeber;Uspesifisert flekkfeber;;;;X
A78;Q-feber;Q-feber;;;;
A790;Skyttergravsfeber;Skyttergravsfeber;;;;
A791;Rickettsiainfeksjon som skyldes Rickettsia akarii;Rickettsiainfeksjoner som skyldes Rickettsia akarii;;;;
