code_type;code;text_long;text;only_secondary;gender_specific;new_2017;not_in_2016
NCRP;BBB06K;Nålebiopsi av paratyreoidea, ultralydveiledet;Nålebiopsi av paratyreoidea, ultralydveiledet;;;;
NCRP;BCA03K;Aspirasjonscytologi fra binyre, ultralydveiledet;Aspirasjonscytologi fra binyre, ultralydveiledet;;;;
NCRP;BCB06K;Nålebiopsi av binyre, ultralydveiledet;Nålebiopsi av binyre, ultralydveiledet;;;;
NCRP;BCX00C;Binyrevenekateterisering;Binyrevenekateterisering;;;;
NCRP;BXW96X;Annen bildeveiledet intervensjon på endokrine organer;Annen bildeveiledet intervensjon på endokrine organer;;;;
NCRP;DHA00K;Aspirasjonscytologi fra neseslimhinne, ultralydveiledet;Aspirasjonscytologi fra neseslimhinne, ultralydveiledet;;;;
NCRP;DHB00K;Nålebiopsi av neseslimhinne, ultralydveiledet;Nålebiopsi av neseslimhinne, ultralydveiledet;;;;
NCRP;DJA03K;Aspirasjonscytologi fra neseseptum, ultralydveiledet;Aspirasjonscytologi fra neseseptum, ultralydveiledet;;;;
NCRP;DJB06K;Nålebiopsi av neseseptum, ultralydveiledet;Nålebiopsi av neseseptum, ultralydveiledet;;;;
NCRP;DMA04K;Aspirasjonscytologi fra maxillarsinus, ultralydveiledet;Aspirasjonscytologi fra maxillarsinus, ultralydveiledet;;;;
NCRP;DMB06K;Nålebiopsi av maxillarsinus, ultralydveiledet;Nålebiopsi av maxillarsinus, ultralydveiledet;;;;
NCRP;DXW96X;Annen bildeveiledet intervensjon på øre, nese, bihuler eller strupehode;Annen bildeveil intervensjon øre/nese/bihuler/strupehode;;;;
NCRP;EKA06K;Nålebiopsi av kinn, ultralydveiledet;Nålebiopsi av kinn, ultralydveiledet;;;;
NCRP;ELA06K;Nålebiopsi av spyttkjertel, ultralydveiledet;Nålebiopsi av spyttkjertel, ultralydveiledet;;;;
NCRP;EXW96X;Annen bildeveiledet intervensjon på tenner, kjever, munn eller pharynx;Annen bildeveil intervensjon på tenner/kjever/munn/pharynx;;;;
NCRP;FAM12A;Perkutan transluminal lukking av fenestrasjon ved cavopulmonal forbindelse;Perkut translum lukking av fenestrasjon ved cavopulm forbind;;;;
NCRP;FAP22C;Perkutan transluminal angioplastikk på intratorakale vena cava;Perkutan transluminal angioplastikk på intratorak v cava;;;;
NCRP;FAQ25C;Perkutan transluminal angioplastikk på intratorakale vena cava med innlegging av stent;Perkut translum angioplastikk intratorak v cava m/stentinnl;;;;
NCRP;FAR22C;Perkutan transluminal fjerning av fremmedlegeme fra intratorakale vena cava;Perkut translum fjerning fremmedlegeme intratorak v cava;;;;
NCRP;FAW96X;Annen bildeveiledet intervensjon på store intratorakale vener;Annen bildeveil intervensjon på store intratorakale vener;;;;
NCRP;FBE32B;Perkutan trombektomi eller embolektomi i lungearterie;Perkutan trombektomi eller embolektomi i lungearterie;;;;
NCRP;FBP12B;Perkutan transluminal fjerning av bånd og dilatasjon av lungearterie;Perkut translumin fj av bånd og dilat av lungearterie;;;;
NCRP;FBP32B;Perkutan transluminal angioplastikk på lungearterie;Perkutan transluminal angioplastikk på lungearterie;;;;
NCRP;FBP42B;Perkutan transluminal rekanalisering av lungearterie;Perkutan transluminal rekanalisering av lungearterie;;;;
NCRP;FBQ35B;Perkutan transluminal angioplastikk på lungearterie med innlegging av stent;Perkutan transluminal angioplastikk på lungeart m/stentinnl;;;;
NCRP;FBR52B;Perkutan transluminal fjerning av fremmedlegeme fra lungearterie;Perkutan transluminal fjerning av fremmedlegeme fra lungeart;;;;
NCRP;FBT32B;Injeksjon av trombolytisk substans i lungearterie;Injeksjon av trombolytisk substans i lungearterie;;;;
NCRP;FBW96X;Annen bildeveiledet intervensjon på lungearterie eller grein;Annen bildeveiledet intervensjon på lungearterie eller grein;;;;
NCRP;FBY32B;Perkutan okklusjon av lungearterie;Perkutan okklusjon av lungearterie;;;;
NCRP;FCE62B;Perkutan trombektomi eller embolektomi i torakalaorta;Perkutan trombektomi eller embolektomi i torakalaorta;;;;
NCRP;FCK12A;Perkutan innleggelse av aorta-ballongpumpe;Perkutan innleggelse av aorta-ballongpumpe;;;;
NCRP;FCP62B;Perkutan arterioplastikk på torakalaorta;Perkutan arterioplastikk på torakalaorta;;;;
NCRP;FCQ35B;Perkutan innlegging av stent i aorta ascendens;Perkutan innlegging av stent i aorta ascendens;;;;
NCRP;FCQ45B;Perkutan innlegging av stent i aortabuen;Perkutan innlegging av stent i aortabuen;;;;
NCRP;FCQ55B;Perkutan innlegging av stent i aorta descendens;Perkutan innlegging av stent i aorta descendens;;;;
NCRP;FCQ62B;Perkutan innlegging av stent i torakalaorta;Perkutan innlegging av stent i torakalaorta;;;;
NCRP;FCQ65B;Perkutan innlegging av stent i torakoabdominalaorta;Perkutan innlegging av stent i torakoabdominalaorta;;;;
NCRP;FCR82B;Perkutan transluminal fjerning av fremmedlegeme fra aorta ascendens;Perkutan translum fjerning av fremmedlegeme fra aorta ascend;;;;
NCRP;FCR85B;Perkutan transluminal fjerning av fremmedlegeme fra aortabuen;Perkutan translum fjerning av fremmedlegeme fra aortabuen;;;;
NCRP;FCR88B;Perkutan transluminal fjerning av fremmedlegeme fra aorta descendens;Perkutan translum fjerning av fremmedlegeme fra aorta descen;;;;
NCRP;FCR92B;Perkutan transluminal fjerning av fremmedlegeme fra torakoabdominalaorta;Perkut translum fj frlegeme torakoabdominalaorta;;;;
NCRP;FCW96X;Annen bildeveiledet intervensjon på torakal- og torakoabdominalaorta, ekslusiv misdannelser;Ann bildev interven torakal/torakoabdom.aorta, eksl misdann;;;;
NCRP;FCZ35B;Perkutan innlegging av stentgraft i aorta ascendens;Perkutan innlegging av stentgraft i aorta ascendens;;;;
NCRP;FCZ45B;Perkutan innlegging av stentgraft i aortabuen;Perkutan innlegging av stentgraft i aortabuen;;;;
NCRP;FCZ55B;Perkutan innlegging av stentgraft i aorta descendens;Perkutan innlegging av stentgraft i aorta descendens;;;;
NCRP;FCZ62B;Perkutan innlegging av stentgraft i torakalaorta;Perkutan innlegging av stentgraft i torakalaorta;;;;
NCRP;FCZ65B;Perkutan innlegging av stentgraft i torakoabdominalaorta;Perkutan innlegging av stentgraft i torakoabdominalaorta;;;;
NCRP;FDP42B;Perkutan transluminal angioplastikk på torakalaorta ved coarctatio;Perkutan translum angioplastikk på torakalaorta v/coarctatio;;;;
NCRP;FDQ02A;Perkutan transluminal innlegging av stent i ductus arteriosus;Perkutan transluminal innlegg av stent i ductus arteriosus;;;;
NCRP;FDW96X;Annen bildeveiledet intervensjon for misdannelse av torakal- eller torakoabdominalaorta;Ann bildeveil interven v/misdan av torakal/torakoabdom.aorta;;;;
NCRP;FDY05A;Perkutan transluminal okklusjon av aortopulmonal kollateral;Perkutan transluminal okklusjon av aortopulmonal kollateral;;;;
NCRP;FDY32A;Perkutan transluminal okklusjon av åpen ductus arteriosus;Perkutan transluminal okklusjon av åpen ductus arteriosus;;;;
NCRP;FED10A;Perkutan drenasje av perikard, røntgenveiledet;Perkutan drenasje av perikard, røntgenveiledet;;;1;1
NCRP;FED10D;Perkutan drenasje av perikard, CT-veiledet;Perkutan drenasje av perikard, CT-veiledet;;;1;1
NCRP;FED10K;Perkutan drenasje av perikard, ultralydveiledet;Perkutan drenasje av perikard, ultralydveiledet;;;;
NCRP;FES10A;Skifte av perikardkateter, røntgenveiledet;Skifte av perikardkateter, røntgenveiledet;;;1;1
NCRP;FES10K;Skifte av perikardkateter, ultralydveiledet;Skifte av perikardkateter, ultralydveiledet;;;;
NCRP;FEW96X;Annen bildeveiledet intervensjon på perikard;Annen bildeveiledet intervensjon på perikard;;;;
NCRP;FFB02A;Perkutan transluminal biopsi av atrium;Perkutan transluminal biopsi av atrium;;;;
NCRP;FFM02A;"Perkutan transluminal lukking av venstre aurikkel (""Left aterial appendage occlusion"", LAAO)";Perkutan transluminal lukking av venstre aurikkel (LAAO);;;;
NCRP;FFM22A;Perkutan transluminal lukking av ostium secundum-type atrieseptumdefekt;Perkutan translum lukking av ostium secundum type ASD;;;;
NCRP;FFM32A;Perkutan transluminal lukking av sinus venosus-type atrieseptumdefekt;Perkutan transluminal lukking av sinus venosus-type ASD;;;;
NCRP;FFP22C;Perkutan transluminal angioplastikk på lungevene;Perkutan transluminal angioplastikk på lungevene;;;;
NCRP;FFQ22C;Perkutan transluminal angioplastikk på lungevene med innlegging av stent;Perkutan transluminal angioplastikk på lungevene m/stentinnl;;;;
NCRP;FFR32A;Perkutan transluminal fjerning av fremmedlegeme fra atrium;Perkutan transluminal fjerning av fremmedlegeme fra atrium;;;;
NCRP;FFW02A;Perkutan transluminal atrial septostomi;Perkutan transluminal atrial septostomi;;;;
NCRP;FFW96X;Annen bildeveiledet intervensjon på atrium, atrieseptum eller lungevener;Annen bildeveil intervensj på atrium/atrieseptum/lungevener;;;;
NCRP;FGP32A;Perkutan transluminal utvidelse av trikuspidalklaffen;Perkutan transluminal utvidelse av trikuspidalklaffen;;;;
NCRP;FGW96X;Annen bildeveiledet intervensjon på trikuspidalklaff;Annen bildeveiledet intervensjon på trikuspidalklaff;;;;
NCRP;FHM42A;Perkutan transluminal lukking av ventrikkelseptumdefekt;Perkutan transluminal lukking av ventrikkelseptumdefekt;;;;
NCRP;FHO30B;Perkutan ablasjon av ventrikkelseptum ved etanolinjeksjon i koronarkar, bildeveiledet;Perkut ablasjon av ventrikkelseptum v/etanolinj i koronarkar;;;;
NCRP;FHW96X;Annen bildeveiledet intervensjon på ventrikkelseptum;Annen bildeveiledet intervensjon på ventrikkelseptum;;;;
NCRP;FJB12A;Perkutan transluminal biopsi av høyre ventrikkel;Perkutan transluminal biopsi av høyre ventrikkel;;;;
NCRP;FJK12A;Perkutan transluminal implantasjon av biologisk pulmonalklaffeprotese;Perkutan transluminal implant av biol pulmonalklaffeprotese;;;;
NCRP;FJP42A;Perkutan transluminal utvidelse av pulmonalklaffen;Perkutan transluminal utvidelse av pulmonalklaffen;;;;
NCRP;FJR12A;Perkutan transluminal fjerning av fremmedlegeme fra høyre ventrikkel;Perkutan translumin fjerning av fremmedl fra hø. ventrikkel;;;;
NCRP;FJW96X;Annen bildeveiledet intervensjon på høyre ventrikkel eller pulmonalklaff;Annen bildeveil interven på hø. ventrikkel/pulmonalklaff;;;;
NCRP;FKK72A;Perkutan transluminal innsetting av mitralimplantat;Perkutan transluminal innsetting av mitralimplantat;;;;
NCRP;FKP32A;Perkutan transluminal utvidelse av mitralklaffen;Perkutan transluminal utvidelse av mitralklaffen;;;;
NCRP;FKW96X;Annen bildeveiledet intervensjon på mitralklaff;Annen bildeveiledet intervensjon på mitralklaff;;;;
NCRP;FLB12A;Perkutan transluminal biopsi av venstre ventrikkel;Perkutan transluminal biopsi av venstre ventrikkel;;;;
NCRP;FLO32B;Perkutan transkoronar destruksjon av myokard;Perkutan transkoronar destruksjon av myokard;;;;
NCRP;FLR12A;Perkutan transluminal fjerning av fremmedlegeme fra venstre ventrikkel;Perkutan translumin fjerning av fremmedl fra ve. ventrikkel;;;;
NCRP;FLW12A;Perkutan transmyokardial laserrevaskularisering fra venstre ventrikkel;Perkut transmyokardial laserrevaskularisering fra ve ventr;;;;
NCRP;FLW96X;Annen bildeveiledet intervensjon på venstre ventrikkel;Annen bildeveiledet intervensjon på venstre ventrikkel;;;;
NCRP;FMK12A;Perkutan transluminal implantasjon av biologisk aortaklaffeprotese;Perkutan transluminal implant av biol aortaklaffeprotese;;;;
NCRP;FMK14A;Perkutan transapikal implantasjon av biologisk aortaklaffeprotese;Perkutan transapikal implantasjon av biol aortaklaffeprotese;;;;
NCRP;FMP32A;Perkutan transluminal utvidelse av aortaklaffen;Perkutan transluminal utvidelse av aortaklaffen;;;;
NCRP;FMW96X;Annen bildeveiledet intervensjon på aortaklaff;Annen bildeveiledet intervensjon på aortaklaff;;;;
NCRP;FNE12B;Perkutan trombektomi eller embolektomi i koronararterie;Perkutan trombektomi eller embolektomi i koronararterie;;;;
NCRP;FNE22B;Perkutan trombektomi eller embolektomi i aortokoronar bypass fra a. mammaria int.;Perkutan trombektomi/embolektomi i ACB fra a. mammaria int.;;;;
NCRP;FNM12B;Perkutan transluminal okklusjon av koronarfistel;Perkutan transluminal okklusjon av koronarfistel;;;;
NCRP;FNO10A;Perkutan intrakoronar brakyterapi;Perkutan intrakoronar brakyterapi;;;;
NCRP;FNP02B;Perkutan transluminal koronar angioplastikk;Perkutan transluminal koronar angioplastikk;;;;
NCRP;FNP12B;Perkutan arterioplastikk på aortokoronar bypass fra a. mammaria int.;Perkutan arterioplastikk på ACB fra a. mammaria int.;;;;
NCRP;FNQ05B;Perkutan transluminal koronar angioplastikk med stentinnlegging;Perkutan transluminal koronar angioplastikk m/stentinnlegg;;;;
NCRP;FNQ12B;Perkutan innlegging av stent i aortokoronar bypass fra a. mammaria int.;Perkutan innlegging av stent i ACB fra a. mammaria int.;;;;
NCRP;FNR22B;Perkutan transluminal fjerning av fremmedlegeme fra koronararterie;Perkutan transluminal fjerning av fremmedl fra koronarart;;;;
NCRP;FNW96B;Annen bildeveiledet intervensjon på koronararterie;Annen bildeveiledet intervensjon på koronararterie;;;;
NCRP;FNY02B;Perkutan transluminal okklusjon av anomal koronararterie;Perkutan transluminal okklusjon av anomal koronararterie;;;;
NCRP;FPK00A;Temporær transvenøs pacemaker;Temporær transvenøs pacemaker;;;;
NCRP;FPK10A;Implantasjon av pacemaker med transvenøs ventrikkelelektrode;Implantasjon av pacemaker med transvenøs ventrikkelelektrode;;;;
NCRP;FPK13A;Implantasjon av pacemaker med transvenøs atrieelektrode;Implantasjon av pacemaker med transvenøs atrieelektrode;;;;
NCRP;FPK16A;Implantasjon av pacemaker med transvenøs atrie- og ventrikkelelektrode;Implant av pacemaker m/transvenøs atrie+ventrikkelelektrode;;;;
NCRP;FPK20A;Implantasjon av transvenøs pacemaker med biventrikulære elektroder;Implant av transvenøs pacemaker m/biventrikulære elektrod.;;;;
NCRP;FPK23A;Implantasjon av transvenøs pacemaker med atrie-, ventrikkel- og koronarveneelektrode (biventrikulær pacemaker);Impl transven biventr pacemaker m/atr+ventr+koronarveneelek.;;;;
NCRP;FPK30A;Implantasjon av cardioverter-defibrillator med generator og transvenøs ventrikkelelektrode;Implant av ICD m/generator+transvenøs ventrikkelelektrode;;;;
NCRP;FPK33A;Implantasjon av cardioverter-defibrillator med generator og transvenøs atrie- og ventrikkelelektrode;Implant av ICD m/generator+transvenøs atrie+ventrikkelelek.;;;;
NCRP;FPK36A;Implantasjon av cardioverter-defibrillator med generator og transvenøs biventrikulær elektrode;Implant av ICD m/generator+transvenøs biventrik. elektrode;;;;
NCRP;FPK40A;Implantasjon av cardioverter-defibrillator med generator og transvenøs atrie-, ventrikkel- og koronarveneelektrode;Implant ICD m/generator+transvenøs atr+ventr+koronarv.elekt;;;;
NCRP;FPK50A;Implantasjon av transvenøs pacemakerelektrode;Implantasjon av transvenøs pacemakerelektrode;;;;
NCRP;FPK53A;Implantasjon av transvenøs elektrode til cardioverter-defibrillator;Implantasjon av transvenøs elektrode til ICD;;;;
NCRP;FPK60A;Utskifting av transvenøs pacemakerelektrode;Utskifting av transvenøs pacemakerelektrode;;;;
NCRP;FPK63A;Utskifting av transvenøs elektrode til cardioverter-defibrillator;Utskifting av transvenøs elektrode til ICD;;;;
NCRP;FPK96A;Annen implantasjon eller utskifting av transvenøs pacemaker;Annen implantasjon eller utskifting av transvenøs pacemaker;;;;
NCRP;FPK98A;Annen bildeveiledet implantasjon av permanent cardioverter-defibrillator;Annen bildeveiledet implantasjon av permanent ICD;;;;
NCRP;FPO10A;Transvenøs kryoablasjon av ektopisk hjertefokus;Transvenøs kryoablasjon av ektopisk hjertefokus;;;;
NCRP;FPO25A;Transvenøs radiobølgeablasjon av aberrant ledningsbane eller hjertefokus;Transvenøs radiobølgeabl aberrant ledningsbane/hjertefokus;;;;
NCRP;FPR50A;Fjerning av pacemaker eller cardioverter-defibrillator med transvenøs ekstraksjon av elektrode;Fjerning av pacemaker/ICD m/transvenøs elektrodeekstraksjon;;;;
NCRP;FPR53A;Fjerning av pacemaker eller cardioverter-defibrillator med åpen ekstraksjon av transvenøs elektrode, bildeveiledet;Fjerning pacemaker/ICD m/åpen elektrodeekstrak, bildeveil;;;;
NCRP;FPR96A;Annen fjerning av pacemaker eller cardioverter-defibrillator, bildeveiledet;Annen fjerning av pacemaker eller ICD, bildeveiledet;;;;
NCRP;FPW10A;Revisjon av elektrode til pacemaker eller cardioverter-defibrillator, bildeveiledet;Revisjon av elektrode til pacemaker/ICD, bildeveiledet;;;;
NCRP;FPW96X;Annen bildeveiledet intervensjon for arytmi eller ledningsforstyrrelse;Annen bildeveil intervensjon for arytmi/ledningsforstyrrelse;;;;
NCRP;FWE96B;Perkutan transluminal reoperasjon for trombose eller emboli etter inngrep på hjerte eller stort intratorakalt kar;Perk translum reop tromb/emboli e op hjerte/st intrator.kar;;;;
NCRP;FWW96X;Annen bildeveiledet reintervensjon på hjerte eller de store intratorakale kar;Annen bildeveil reintervensjon på hjerte/store intrator kar;;;;
NCRP;FWW98X;Annen perkutan transluminal reoperasjon etter inngrep på hjerte eller stort intratorakalt kar;Annen perkut. translum. reop e. op hjerte/stort intrator kar;;;;
NCRP;FYX00A;Høyresidig hjertekateterisering;Høyresidig hjertekateterisering;;;;
NCRP;FYX10A;Venstresidig hjertekateterisering;Venstresidig hjertekateterisering;;;;
NCRP;GAB06D;Nålebiopsi av toraksskjelett, CT-veiledet;Nålebiopsi av toraksskjelett, CT-veiledet;;;;
NCRP;GAB06K;Nålebiopsi av toraksskjelett, ultralydveiledet;Nålebiopsi av toraksskjelett, ultralydveiledet;;;;
NCRP;GAB16A;Nålebiopsi av brystvegg, røntgenveiledet;Nålebiopsi av brystvegg, røntgenveiledet;;;1;1
NCRP;GAB16D;Nålebiopsi av brystvegg, CT-veiledet;Nålebiopsi av brystvegg, CT-veiledet;;;1;1
NCRP;GAB16K;Nålebiopsi av brystvegg, ultralydveiledet;Nålebiopsi av brystvegg, ultralydveiledet;;;;
NCRP;GAB26K;Nålebiopsi av pleura, ultralydveiledet;Nålebiopsi av pleura, ultralydveiledet;;;;
NCRP;GAB36K;Nålebiopsi av diafragma, ultralydveiledet;Nålebiopsi av diafragma, ultralydveiledet;;;;
NCRP;GAD10K;Interkostal innlegging av pleuradren, ultralydveiledet;Interkostal innlegging av pleuradren, ultralydveiledet;;;;
NCRP;GAI20D;Injeksjon av terapeutisk substans i toraksskjelett, CT-veiledet;Injeksjon av terapeutisk substans i toraksskjelett, CT-veil;;;;
NCRP;GAI20K;Injeksjon av terapeutisk substans i toraksskjelett, ultralydveiledet;Injeksjon av terapeutisk substans i toraksskjelett, UL-veil;;;;
NCRP;GAS10A;Skifte av pleuradren, røntgenveiledet;Skifte av pleuradren, røntgenveiledet;;;1;1
NCRP;GAS10K;Skifte av pleuradren, ultralydveiledet;Skifte av pleuradren, ultralydveiledet;;;;
NCRP;GBB06K;Nålebiopsi av trachea, ultralydveiledet;Nålebiopsi av trachea, ultralydveiledet;;;;
NCRP;GBQ12A;Innlegging av stent i trachea eller bronkier;Innlegging av stent i trachea eller bronkier;;;;
NCRP;GDB16D;Nålebiopsi av lunge, CT-veiledet;Nålebiopsi av lunge, CT-veiledet;;;;
NCRP;GEB16D;Nålebiopsi av mediastinum, CT-veiledet;Nålebiopsi av mediastinum, CT-veiledet;;;;
NCRP;GFY12B;Embolisering av arteriovenøs malformasjon i lunge;Embolisering av arteriovenøs malformasjon i lunge;;;;
NCRP;GXO33D;Radiofrekvensablasjon i toraks, CT-veiledet;Radiofrekvensablasjon i toraks, CT-veiledet;;;;
NCRP;GXW00K;Fokusert ultralydbehandling av toraks;Fokusert ultralydbehandling av toraks;;;;
NCRP;GXW96X;Annen bildeveiledet intervensjon på brystvegg, pleura, diafragma, trachea, bronkier, lunger og mediastinum INA;A.bdveil.interv.brystv/pleur/diaf/trach/bronk/lng/medias INA;;;;
NCRP;HAA03A;Cytologisk prøve fra mamma, røntgenveiledet;Cytologisk prøve fra mamma, røntgenveiledet;;K;1;1
NCRP;HAA03G;Cytologisk prøve fra mamma, MR-veiledet;Cytologisk prøve fra mamma, MR-veiledet;;K;1;1
NCRP;HAA03K;Cytologisk prøve fra mamma, ultralydveiledet;Cytologisk prøve fra mamma, ultralydveiledet;;K;;
NCRP;HAA20A;Tapping av cyste i mamma, røntgenveiledet;Tapping av cyste i mamma, røntgenveiledet;;K;1;1
NCRP;HAA20G;Tapping av cyste i mamma, MR-veiledet;Tapping av cyste i mamma, MR-veiledet;;K;1;1
NCRP;HAA20K;Tapping av cyste i mamma, ultralydveiledet;Tapping av cyste i mamma, ultralydveiledet;;K;;
NCRP;HAB06K;Nålebiopsi av brystvorte, ultralydveiledet;Nålebiopsi av brystvorte, ultralydveiledet;;;;
NCRP;HAB16A;Nålebiopsi av mamma, røntgenveiledet;Nålebiopsi av mamma, røntgenveiledet;;K;1;1
NCRP;HAB16G;Nålebiopsi av mamma, MR-veiledet;Nålebiopsi av mamma, MR-veiledet;;K;1;1
NCRP;HAB16K;Nålebiopsi av mamma, ultralydveiledet;Nålebiopsi av mamma, ultralydveiledet;;K;;
NCRP;HAB26A;Vakuumbiopsi av mamma, røntgenveiledet;Vakuumbiopsi av mamma, røntgenveiledet;;K;1;1
NCRP;HAB26G;Vakuumbiopsi av mamma, MR-veiledet;Vakuumbiopsi av mamma, MR-veiledet;;K;1;1
NCRP;HAB26K;Vakuumbiopsi av mamma, ultralydveiledet;Vakuumbiopsi av mamma, ultralydveiledet;;K;;
NCRP;HAD10A;Drenasje/skylling av abscess i mamma, røntgenveiledet;Drenasje/skylling av abscess i mamma, røntgenveiledet;;K;1;1
NCRP;HAD10G;Drenasje/skylling av abscess i mamma, MR-veiledet;Drenasje/skylling av abscess i mamma, MR-veiledet;;K;1;1
NCRP;HAD10K;Drenasje/skylling av abscess i mamma, ultralydveiledet;Drenasje/skylling av abscess i mamma, ultralydveiledet;;K;;
NCRP;HAI20K;Injeksjon av terapeutisk substans rundt mammaprotese, ultralydveiledet;Injeksjon av terapeut. substans rundt mammaprotese, UL-veil;;K;;
NCRP;HAK20A;Nålemerking av mamma, røntgenveiledet;Nålemerking av mamma, røntgenveiledet;;K;1;1
NCRP;HAK20G;Nålemerking av mamma, MR-veiledet;Nålemerking av mamma, MR-veiledet;;K;1;1
NCRP;HAK20K;Nålemerking av mamma, ultralydveiledet;Nålemerking av mamma, ultralydveiledet;;K;;
NCRP;HAW00K;Fokusert ultralydbehandling av mamma;Fokusert ultralydbehandling av mamma;;K;;
NCRP;HAW96X;Annen bildeveiledet intervensjon på mamma;Annen bildeveiledet intervensjon på mamma;;K;;
NCRP;JAA00K;Punksjon av peritoneum, ultralydveiledet;Punksjon av peritoneum, ultralydveiledet;;;;
NCRP;JAA10K;Laparocentese, ultralydveiledet;Laparocentese, ultralydveiledet;;;;
NCRP;JAA20K;Perkutan peritoneal lavage, ultralydveiledet;Perkutan peritoneal lavage, ultralydveiledet;;;;
NCRP;JAB06K;Nålebiopsi av abdominalvegg, ultralydveiledet;Nålebiopsi av abdominalvegg, ultralydveiledet;;;;
NCRP;JAD10K;Perkutan innlegging av peritonealt kateter, ultralydveiledet, inkludert dialysekateter;Perkut innlegg av periton. kateter inkl dialysekat, UL-veil;;;;
NCRP;JAD20K;Perkutan lokal drenasje av peritonealhulen, ultralydveiledet;Perkutan lokal drenasje av peritonealhulen, ultralydveiledet;;;;
NCRP;JAD23A;Perkutan drenasje av intraperitoneal abscess, røntgenveiledet;Perkutan drenasje av intraperitoneal abscess, røntgenveil.;;;1;1
NCRP;JAD23D;Perkutan drenasje av intraperitoneal abscess, CT-veiledet;Perkutan drenasje av intraperitoneal abscess, CT-veiledet;;;1;
